等级,工程编码,资源名称,说明
E,Nonw,天桥辛甸花园34号楼800MRRU3662/01,在基础表里面已经存在
E,Nonw,天桥辛甸花园34号楼800M基站天线01,在基础表里面已经存在
E,Nonw,天桥辛甸花园34号楼800M基站天线02,在基础表里面已经存在
E,Nonw,天桥辛甸花园34号楼800M基站天线03,在基础表里面已经存在
E,Nonw,天桥辛甸花园34号楼800M基站天线04,在基础表里面已经存在
E,Nonw,天桥辛甸花园34号楼800M基站天线05,在基础表里面已经存在
E,Nonw,天桥辛甸花园34号楼800M基站天线06,在基础表里面已经存在
E,Nonw,章丘山水泉城三期3号楼800MRRU3662/01,在基础表里面已经存在
E,Nonw,章丘山水泉城三期3号楼800M基站天线01,在基础表里面已经存在
E,Nonw,章丘山水泉城三期3号楼800M基站天线02,在基础表里面已经存在
E,Nonw,章丘山水泉城三期3号楼800M基站天线03,在基础表里面已经存在
E,Nonw,章丘山水泉城三期3号楼800M基站天线04,在基础表里面已经存在
E,Nonw,章丘山水泉城三期3号楼800MRRU3662/02,在基础表里面已经存在
E,Nonw,章丘山水泉城三期3号楼800MRRU3662/03,在基础表里面已经存在
E,Nonw,章丘山水泉城三期3号楼800MRRU3662/04,在基础表里面已经存在
E,Nonw,章丘双山派出所汉唐天下800MRRU3662/01,在基础表里面已经存在
E,Nonw,章丘双山派出所汉唐天下800M基站天线01,在基础表里面已经存在
E,Nonw,章丘双山派出所汉唐天下800M基站天线02,在基础表里面已经存在
E,Nonw,章丘双山派出所汉唐天下800M基站天线03,在基础表里面已经存在
E,Nonw,章丘双山派出所汉唐天下800MRRU3662/02,在基础表里面已经存在
E,Nonw,章丘双山派出所汉唐天下800MRRU3662/03,在基础表里面已经存在
E,Nonw,商河牛铺杨八士800MRRU3662/01,在基础表里面已经存在
E,Nonw,商河牛铺杨八士800M基站天线01,在基础表里面已经存在
E,Nonw,商河牛铺杨八士800M基站天线02,在基础表里面已经存在
E,Nonw,商河牛铺杨八士800M基站天线03,在基础表里面已经存在
E,Nonw,商河牛铺杨八士800MRRU3662/02,在基础表里面已经存在
E,Nonw,商河牛铺杨八士800MRRU3662/03,在基础表里面已经存在
E,Nonw,章丘圣井东姚社区南800MRRU3662/01,在基础表里面已经存在
E,Nonw,章丘圣井东姚社区南800M基站天线01,在基础表里面已经存在
E,Nonw,章丘圣井东姚社区南800M基站天线02,在基础表里面已经存在
E,Nonw,章丘圣井东姚社区南800M基站天线03,在基础表里面已经存在
E,Nonw,章丘圣井东姚社区南800MRRU3662/02,在基础表里面已经存在
E,Nonw,章丘圣井东姚社区南800MRRU3662/03,在基础表里面已经存在
E,Nonw,章丘党家邮政800MRRU3662/01,在基础表里面已经存在
E,Nonw,章丘党家邮政800M基站天线01,在基础表里面已经存在
E,Nonw,章丘党家邮政800M基站天线02,在基础表里面已经存在
E,Nonw,章丘党家邮政800M基站天线03,在基础表里面已经存在
E,Nonw,章丘党家邮政800MRRU3662/02,在基础表里面已经存在
E,Nonw,章丘党家邮政800MRRU3662/03,在基础表里面已经存在
E,Nonw,长清平安红庙800MRRUFRCJ/01,在基础表里面已经存在
E,Nonw,长清平安红庙800M基站天线01,在基础表里面已经存在
E,Nonw,长清平安红庙800M基站天线02,在基础表里面已经存在
E,Nonw,长清平安红庙800M基站天线03,在基础表里面已经存在
E,Nonw,长清平安红庙800MRRUFRCJ/02,在基础表里面已经存在
E,Nonw,长清平安红庙800MRRUFRCJ/03,在基础表里面已经存在
E,Nonw,济阳徐家鑫苑4号楼800MRRU3662/01,在基础表里面已经存在
E,Nonw,济阳徐家鑫苑4号楼800M基站天线01,在基础表里面已经存在
E,Nonw,济阳徐家鑫苑4号楼800M基站天线02,在基础表里面已经存在
E,Nonw,济阳徐家鑫苑4号楼800M基站天线03,在基础表里面已经存在
E,Nonw,济阳徐家鑫苑4号楼800MRRU3662/02,在基础表里面已经存在
E,Nonw,济阳徐家鑫苑4号楼800MRRU3662/03,在基础表里面已经存在
E,Nonw,市中大岭村800MRRU3662/01,在基础表里面已经存在
E,Nonw,市中大岭村800M基站天线01,在基础表里面已经存在
E,Nonw,市中大岭村800M基站天线02,在基础表里面已经存在
E,Nonw,市中大岭村800M基站天线03,在基础表里面已经存在
E,Nonw,市中大岭村800MRRU3662/02,在基础表里面已经存在
E,Nonw,市中大岭村800MRRU3662/03,在基础表里面已经存在
E,Nonw,历城西周家庄800MRRU3662/01,在基础表里面已经存在
E,Nonw,历城西周家庄800M基站天线01,在基础表里面已经存在
E,Nonw,历城西周家庄800M基站天线02,在基础表里面已经存在
E,Nonw,历城西周家庄800M基站天线03,在基础表里面已经存在
E,Nonw,历城西周家庄800MRRU3662/02,在基础表里面已经存在
E,Nonw,历城西周家庄800MRRU3662/03,在基础表里面已经存在
